JerseyNo,Date,Opp,TRB,AST,STL,PTS
20,2017-10-28,BOS,12,3,1,6
20,2017-10-30,MIN,8,2,0,10
20,2017-11-01,CHI,5,0,1,8
20,2017-11-03,DEN,3,0,1,3
20,2017-11-05,LAC,2,0,1,2
20,2017-11-06,GSW,7,5,1,6
20,2017-11-08,PHO,6,5,1,14
20,2017-11-10,UTA,6,0,0,4
20,2017-11-12,DET,4,1,2,4
20,2017-11-15,WAS,5,2,0,7
20,2017-11-17,WAS,7,1,2,10
20,2017-11-19,IND,5,3,2,6
20,2017-11-22,BOS,8,1,0,8
20,2017-11-24,MIN,6,2,0,8
20,2017-11-26,CHI,8,2,1,4
20,2017-11-28,CLE,4,2,0,5
20,2017-11-29,NYK,5,3,1,5
20,2017-12-01,CHO,11,3,0,7
20,2017-12-03,GSW,3,3,0,7
20,2017-12-06,SAS,4,3,0,5
20,2017-12-09,BRK,6,1,0,15
20,2017-12-11,MEM,5,3,1,5
20,2017-12-13,POR,0,2,0,0
20,2017-12-15,CHO,0,0,0,0
20,2017-12-16,LAC,0,0,0,0
20,2017-12-18,ATL,0,0,0,0
20,2017-12-20,BOS,0,0,0,0
20,2017-12-22,DAL,0,0,0,0
20,2017-12-23,NOP,0,0,0,0
20,2017-12-26,ORL,0,0,0,0
20,2017-12-29,BRK,0,0,0,0
20,2017-12-30,ORL,0,0,0,0
20,2018-01-03,DET,0,0,0,0
20,2018-01-05,NYK,0,0,0,0
20,2018-01-07,UTA,0,0,0,0
20,2018-01-09,TOR,0,0,0,0
20,2018-01-10,IND,0,0,0,0
20,2018-01-14,MIL,4,4,0,3
20,2018-01-15,CHI,6,4,1,4
20,2018-01-17,MIL,1,3,0,6
20,2018-01-19,BRK,4,1,1,5
20,2018-01-20,CHO,3,0,1,3
20,2018-01-22,HOU,4,4,0,7
20,2018-01-25,SAC,5,2,0,11
20,2018-01-27,CHO,7,4,0,6
20,2018-01-29,DAL,5,1,0,6
20,2018-01-31,CLE,10,2,1,9
20,2018-02-02,PHI,12,1,0,7
20,2018-02-03,DET,6,3,1,0
20,2018-02-05,ORL,8,2,1,16
20,2018-02-07,HOU,1,3,0,5
20,2018-02-09,MIL,6,0,0,0
20,2018-02-13,TOR,2,2,0,5
20,2018-02-14,PHI,3,1,3,3
20,2018-02-23,NOP,3,4,3,4
20,2018-02-24,MEM,7,2,3,17
20,2018-02-27,PHI,2,3,0,2
20,2018-03-01,LAL,5,2,2,17
20,2018-03-03,DET,4,2,2,13
20,2018-03-05,PHO,12,5,4,12
20,2018-03-06,WAS,6,1,1,15
20,2018-03-08,PHI,6,2,1,9
20,2018-03-10,WAS,8,2,0,10
20,2018-03-12,POR,13,4,0,15
20,2018-03-14,SAC,7,4,1,10
20,2018-03-16,LAL,3,4,1,2
20,2018-03-19,DEN,2,3,1,11
20,2018-03-21,NYK,1,2,0,15
20,2018-03-23,OKC,6,0,1,14
20,2018-03-25,IND,1,0,0,7
20,2018-03-27,CLE,9,3,1,7
20,2018-03-29,CHI,9,2,1,13
20,2018-03-31,BRK,7,2,1,11
20,2018-04-03,ATL,3,0,1,2
20,2018-04-04,ATL,1,5,0,18
20,2018-04-06,NYK,5,2,2,9
20,2018-04-09,OKC,9,2,0,12
20,2018-04-11,TOR,8,4,1,11
