JerseyNo,Date,Opp,TRB,AST,STL,PTS
7,2018-03-16,LAL,5,2,0,30
7,2018-03-19,DEN,5,8,1,20
7,2018-03-21,NYK,2,5,0,14
7,2018-03-23,OKC,4,5,1,20
7,2018-03-25,IND,4,6,2,9
7,2018-03-27,CLE,3,5,0,10
7,2018-03-29,CHI,5,5,1,17
7,2018-03-31,BRK,8,2,0,18
7,2018-04-03,ATL,10,3,3,22
7,2018-04-04,ATL,0,0,0,0
7,2018-04-06,NYK,3,2,1,15
7,2018-04-09,OKC,2,7,0,4
7,2018-04-11,TOR,0,0,0,0
2,2017-10-18,ORL,0,0,1,3
2,2017-10-21,IND,3,1,1,8
2,2017-10-23,ATL,2,2,1,20
2,2017-10-25,SAS,1,1,0,0
2,2017-10-28,BOS,1,0,0,3
2,2017-10-30,MIN,0,0,0,0
2,2017-11-01,CHI,2,4,1,6
2,2017-11-03,DEN,3,2,0,0
2,2017-11-05,LAC,1,2,0,17
2,2017-11-06,GSW,1,1,1,9
2,2017-11-08,PHO,3,0,0,15
2,2017-11-10,UTA,1,0,0,5
2,2017-11-12,DET,1,1,0,6
2,2017-11-15,WAS,0,0,0,3
2,2017-11-17,WAS,3,0,0,4
2,2017-11-19,IND,2,0,1,21
2,2017-11-22,BOS,5,1,0,9
2,2017-11-24,MIN,3,1,0,21
2,2017-11-26,CHI,2,2,1,19
2,2017-11-28,CLE,2,3,2,0
2,2017-11-29,NYK,1,0,2,3
2,2017-12-01,CHO,4,1,2,14
2,2017-12-03,GSW,3,2,0,9
2,2017-12-06,SAS,1,0,1,6
2,2017-12-09,BRK,3,0,2,9
2,2017-12-11,MEM,2,1,0,12
2,2017-12-13,POR,4,0,2,24
2,2017-12-15,CHO,3,1,1,16
2,2017-12-16,LAC,3,2,0,9
2,2017-12-18,ATL,6,1,0,6
2,2017-12-20,BOS,6,1,0,9
2,2017-12-22,DAL,3,0,0,28
2,2017-12-23,NOP,3,1,0,13
2,2017-12-26,ORL,6,1,2,18
2,2017-12-29,BRK,2,0,0,7
2,2017-12-30,ORL,4,1,0,12
2,2018-01-03,DET,8,1,2,12
2,2018-01-05,NYK,4,0,1,24
2,2018-01-07,UTA,3,0,2,9
2,2018-01-09,TOR,3,2,1,15
2,2018-01-10,IND,5,2,0,15
2,2018-01-14,MIL,5,2,0,7
2,2018-01-15,CHI,5,1,0,20
2,2018-01-17,MIL,5,4,0,11
2,2018-01-19,BRK,3,1,2,10
2,2018-01-20,CHO,0,3,1,26
2,2018-01-22,HOU,5,2,0,13
2,2018-01-25,SAC,4,0,1,20
2,2018-01-27,CHO,2,1,0,17
2,2018-01-29,DAL,3,0,1,9
2,2018-01-31,CLE,6,1,0,0
2,2018-02-02,PHI,0,0,1,16
2,2018-02-03,DET,5,1,2,11
